,0
3d2596a767bd953b071fa858f41db803,12.0
67473143a1f4aa1464575d3f0031c5dc,11.0
5b8d6d27c3026c698a6b32115ac2359b,11.0
49293e980c4adb4f4653a596ddf99687,11.0
8653fa46eefda0f8b8c0fa43df657dda,11.0
76544def2e0bb0cce5164aca8b2fea98,11.0
85ca3fb2bdaf9a01416163da855d1502,11.0
bb3cc72dfb75a0cb1894016dcc1dd3ed,11.0
997e4384e45ab09a95cf22f8e66d14ad,11.0
4c5bd711307b21ae6ad1b557f0ac88f4,11.0
5d3e21a9f5e8349b2f3935f95053f150,11.0
3ba30a300792b102a66a5b06425edfaf,11.0
65e8642b6d88b9adf0be004e22470dfd,11.0
241393b3c8206e6359a0c9db3f5fa675,11.0
9ef3f130f20d6915d149951d5181313a,10.0
2c0ae5682880f1db2887b107b64a0df7,10.0
90542a0c25fa499a2e0924ab72217b9e,10.0
1d87e24c1dc057221b8f9ac8b0d0a935,10.0
cbf3e68025e7c218b448c47e26d023d9,10.0
3a724d9974120ba076f3b71fcabb6d47,10.0
837ee03f7ef727acbb6ab499983afbf3,10.0
8329692ce93fb6174cc90ef3f499df58,10.0
7276eb6353e059fbd686733bbc7d33a2,10.0
9d8d7782a57d34fe3ff3e9d577a19531,10.0
56ac6941da794e93fc09373c6f1a7ac6,10.0
f4701cee1fb536242d73c9919569fcd9,10.0
ecd714bb6e85c9aacf931bfcdc78b065,10.0
55c6911f1feae9e9b3b85bb8544f547b,10.0
d7ebfdf0214f40f5312195a9a31ac138,10.0
1772a9e122d83f43f5507109be94ffd3,10.0
2a26210c499afee280036387d13b2e1c,9.0
52a0ab680eb955573e46773523d49479,9.0
5b2312256768a5b129f57e5738f4fc73,9.0
7ae17b65e083fa280ba3e674d8a48365,9.0
c69967ba53369ba53526a036afcf783e,9.0
5321bed6203ff3001855370bdef59bf1,9.0
202c22ef28f44bb77e8873aeb3c71e83,9.0
7f1624c349b0472d479735a986918a89,9.0
db40e906875952393bb9c46a6f968460,9.0
578c13795133b851f4bf7cf1416bcb63,9.0
721bdf7c56300255285df8ce28f43201,9.0
5321d793c3aa40774244240f5e21e23d,9.0
e78d3dc1aca51da446c33c968a8e1d97,9.0
0434d6bf5cccc4faf9096e0a375d9ccb,9.0
67e0caf08792ef465599d55c07bdaa43,9.0
183c325fa4d895adc2bf382285f10041,9.0
0be7e3a7f27cb25e0ab2c7092ab13668,8.0
246571204f238ff85ab9f51e5122c6b6,8.0
20f676632479e1ed562c793cde91f818,8.0
9a30570f4eaa4c4d3d2eaee3656bc1f5,8.0
64ac362b71556158159cada5eca14c56,8.0
8d63ea4412b76cb64fc053d462beb930,8.0
710ffffa701a08d51f48140489bf9deb,8.0
9086cc5e34fab54704bdb379f483789b,8.0
9bf2d6891010879dd3dd6ddac7def7d9,8.0
0afd66820740ad84a3d166f43fbb0f96,8.0
da629a9721d59dc6ce24e2e3ff026f38,8.0
9cd2a5a9cde44d591966e16e3c6c0ede,8.0
254db896b5811d1c03063d1dbb782e49,8.0
0c034cdada9c8a7cdabf1d455e40161a,8.0
